time,blank,time,COL 0.125µg/mL,time,MINO 1µg/mL,time,COL 0.125µg/mL + MEM 4µg/mL,time,MEM 4µg/mL,time,RFP 0.06µg/mL,time,COL 0.125µg/mL + MINO 1µg/mL,time,COL 0.125µg/mL + RFP 0.06µg/mL
0,6.023787256,0,6.005194894,0,6.005194894,0,6.005194894,0,6.005194894,0,6.005194894,0,6.005194894,0,6.005194894
2,7.848107281,2,6.511455259,2,6.78411105,2,1.191422694,2,7.54886367,2,7.994414337,2,1,2,1.789926358
4,9.093292064,4,7.496512374,4,8.095022219,4,1,4,9.458278503,4,8.513972723,4,1,4,1
6,9.693208664,6,8.980332845,6,8.26878055,6,1,6,9.259634554,6,9.033537292,6,1,6,1.532285193
8,9.465851167,8,9.745938616,8,8.07013454,8,1,8,9.506539211,8,9.267141867,8,2.191498556,8,2.730149792
10,10.31393214,10,9.826594315,10,8.696095638,10,1,10,10.30540343,10,9.021943511,10,1.667000551,10,1
12,9.772175273,12,10.01365067,12,8.464197364,12,1,12,9.109249252,12,9.328700595,12,1,12,2.40600822
24,8.966575533,24,10.54669048,24,8.644780899,24,1,24,10.46024201,24,8.791083855,24,2.008042335,24,1
