time,blank,time,0.25µg/mL  COL,time,8µg/mL  MEM,time,1µg/mL  MINO,time,0.06µg/mL  RFP,time,8µg/mL  MEM,time,0.25µg/mL  COL + 1µg/mL  MINO,time,0.06µg/mL  RFP + 0.25µg/mL  COL
0,5.934414817,0,5.949387868,0,5.949387868,0,5.949387868,0,5.949387868,0,5.949387868,0,5.949387868,0,5.949387868
2,7.886941984,2,4.055988942,2,7.501653868,2,7.916392041,2,7.230458382,2,1.20054476,2,1.415898818,2,1
4,9.773366245,4,3.789700669,4,9.428768766,4,9.572338137,4,8.495576743,4,1,4,1.333060299,4,1.205451974
6,11.32921226,6,3.810551141,6,11.42770393,6,11.28411677,6,9.314034836,6,1,6,1.545327704,6,1
8,12.40571981,8,4.557224548,8,12.21424882,8,11.92710118,8,10.02082786,8,1,8,1.414641622,8,1
10,13.39958279,10,4.80939902,10,13.97389281,10,13.85424277,10,11.87617586,10,1,10,1.961913124,10,1.690726533
12,14.39344578,12,4.654766919,12,13.69961956,12,14.37758604,12,13.27687863,12,1,12,1.599920832,12,1
24,14.92493252,24,8.240274107,24,14.56529365,24,14.89231278,24,14.84445632,24,1.739771989,24,2.521418563,24,3.271169728
